model,param_under_test,cw_classes,q_norm,avg_tot_reward,avg_steps,avg_embb_outages,avg_urllc_delays,avg_residual_urllc_pkts
0,0.1,0,0.005,-1.01,140.0,0.997,0.0,0.008
0,0.2,0,0.005,-3.239,140.0,3.193,0.0,0.031
0,0.3,0,0.005,-5.431,140.0,5.305,0.0,0.091
0,0.4,0,0.005,-9.679,140.0,9.394,0.0,0.232
0,0.5,0,0.005,-14.89,140.0,14.247,0.0,0.567
0,0.1,1,0.005,-0.011,140.0,0.0,0.0,0.0
0,0.2,1,0.005,-0.055,140.0,0.004,0.0,0.001
0,0.3,1,0.005,-0.189,140.0,0.047,0.0,0.005
0,0.4,1,0.005,-0.572,140.0,0.23,0.0,0.052
0,0.5,1,0.005,-1.633,140.0,0.856,0.0,0.351
0,0.1,2,0.005,-0.025,140.0,0.009,0.0,0.0
0,0.2,2,0.005,-0.161,140.0,0.111,0.0,0.006
0,0.3,2,0.005,-0.585,140.0,0.459,0.0,0.019
0,0.4,2,0.005,-1.713,140.0,1.425,0.0,0.115
0,0.5,2,0.005,-4.341,140.0,3.724,0.0,0.487
0,0.1,3,0.005,-0.41,140.0,0.395,0.0,0.002
0,0.2,3,0.005,-2.093,140.0,2.046,0.0,0.035
0,0.3,3,0.005,-5.499,140.0,5.386,0.0,0.132
0,0.4,3,0.005,-10.88,140.0,10.645,0.0,0.348
0,0.5,3,0.005,-18.767,140.0,18.242,0.0,0.823
0,0.1,4,0.005,-4.855,140.0,4.844,0.0,0.04
0,0.2,4,0.005,-12.928,140.0,12.887,0.0,0.151
0,0.3,4,0.005,-23.308,140.0,23.2,0.0,0.302
0,0.4,4,0.005,-34.534,140.0,34.28,0.0,0.569
0,0.5,4,0.005,-46.857,140.0,46.267,0.0,1.19
0,0.1,5,0.005,-14.011,140.0,14.001,0.0,0.087
0,0.2,5,0.005,-27.46,140.0,27.412,0.0,0.222
0,0.3,5,0.005,-41.732,140.0,41.591,0.0,0.383
0,0.4,5,0.005,-55.7,140.0,55.337,0.0,0.784
0,0.5,5,0.005,-68.373,140.0,67.602,0.0,1.414
