model,param_under_test,cw_classes,q_norm,avg_tot_reward,avg_steps,avg_embb_outages,avg_urllc_delays,avg_residual_urllc_pkts
0,0.1,0,0.005,-0.896,140.0,0.896,0.0,0.0
0,0.2,0,0.005,-1.827,140.0,1.827,0.0,0.0
0,0.3,0,0.005,-2.397,140.0,2.397,0.0,0.0
0,0.4,0,0.005,-3.236,140.0,3.236,0.0,0.0
0,0.5,0,0.005,-4.087,140.0,4.087,0.0,0.0
0,0.1,1,0.005,-0.001,140.0,0.001,0.0,0.0
0,0.2,1,0.005,-0.002,140.0,0.002,0.0,0.0
0,0.3,1,0.005,-0.058,140.0,0.058,0.0,0.0
0,0.4,1,0.005,-0.22,140.0,0.22,0.0,0.0
0,0.5,1,0.005,-0.641,140.0,0.641,0.0,0.0
0,0.1,2,0.005,-0.012,140.0,0.012,0.0,0.0
0,0.2,2,0.005,-0.12,140.0,0.12,0.0,0.0
0,0.3,2,0.005,-0.531,140.0,0.531,0.0,0.0
0,0.4,2,0.005,-1.234,140.0,1.234,0.0,0.0
0,0.5,2,0.005,-2.253,140.0,2.253,0.0,0.0
0,0.1,3,0.005,-0.473,140.0,0.473,0.0,0.0
0,0.2,3,0.005,-1.773,140.0,1.773,0.0,0.0
0,0.3,3,0.005,-3.33,140.0,3.33,0.0,0.0
0,0.4,3,0.005,-4.849,140.0,4.849,0.0,0.0
0,0.5,3,0.005,-6.316,140.0,6.316,0.0,0.0
0,0.1,4,0.005,-3.39,140.0,3.39,0.0,0.0
0,0.2,4,0.005,-6.162,140.0,6.162,0.0,0.0
0,0.3,4,0.005,-8.302,140.0,8.302,0.0,0.0
0,0.4,4,0.005,-10.033,140.0,10.033,0.0,0.0
0,0.5,4,0.005,-11.146,140.0,11.146,0.0,0.0
0,0.1,5,0.005,-7.128,140.0,7.128,0.0,0.0
0,0.2,5,0.005,-10.188,140.0,10.188,0.0,0.0
0,0.3,5,0.005,-11.727,140.0,11.727,0.0,0.0
0,0.4,5,0.005,-13.224,140.0,13.224,0.0,0.0
0,0.5,5,0.005,-14.39,140.0,14.39,0.0,0.0
