model,param_under_test,cw_classes,q_norm,avg_tot_reward,avg_steps,avg_embb_outages,avg_urllc_delays,avg_residual_urllc_pkts
-1,0.1,0,0,-2.596,140.0,2.596,0.0,0.0
-1,0.2,0,0,-5.349,140.0,5.349,0.0,0.0
-1,0.3,0,0,-8.007,140.0,8.007,0.0,0.0
-1,0.4,0,0,-10.209,140.0,10.209,0.0,0.0
-1,0.5,0,0,-12.351,140.0,12.351,0.0,0.0
-1,0.1,1,0,-0.463,140.0,0.463,0.0,0.0
-1,0.2,1,0,-1.646,140.0,1.646,0.0,0.0
-1,0.3,1,0,-3.575,140.0,3.575,0.0,0.0
-1,0.4,1,0,-5.602,140.0,5.602,0.0,0.0
-1,0.5,1,0,-7.747,140.0,7.747,0.0,0.0
-1,0.1,2,0,-1.363,140.0,1.363,0.0,0.0
-1,0.2,2,0,-3.76,140.0,3.76,0.0,0.0
-1,0.3,2,0,-6.371,140.0,6.371,0.0,0.0
-1,0.4,2,0,-8.785,140.0,8.785,0.0,0.0
-1,0.5,2,0,-11.214,140.0,11.214,0.0,0.0
-1,0.1,3,0,-3.806,140.0,3.806,0.0,0.0
-1,0.2,3,0,-7.697,140.0,7.697,0.0,0.0
-1,0.3,3,0,-10.902,140.0,10.902,0.0,0.0
-1,0.4,3,0,-13.546,140.0,13.546,0.0,0.0
-1,0.5,3,0,-15.793,140.0,15.793,0.0,0.0
-1,0.1,4,0,-7.315,140.0,7.315,0.0,0.0
-1,0.2,4,0,-11.959,140.0,11.959,0.0,0.0
-1,0.3,4,0,-15.233,140.0,15.233,0.0,0.0
-1,0.4,4,0,-17.801,140.0,17.801,0.0,0.0
-1,0.5,4,0,-19.431,140.0,19.431,0.0,0.0
-1,0.1,5,0,-9.33,140.0,9.33,0.0,0.0
-1,0.2,5,0,-14.494,140.0,14.494,0.0,0.0
-1,0.3,5,0,-17.666,140.0,17.666,0.0,0.0
-1,0.4,5,0,-19.695,140.0,19.695,0.0,0.0
-1,0.5,5,0,-21.7,140.0,21.7,0.0,0.0
