model,param_under_test,cw_classes,q_norm,avg_tot_reward,avg_steps,avg_embb_outages,avg_urllc_delays,avg_residual_urllc_pkts
0,0.1,0,0,-4.595,140.0,4.595,0.0,0.0
0,0.2,0,0,-9.037,140.0,9.037,0.0,0.0
0,0.3,0,0,-14.007,140.0,14.007,0.0,0.0
0,0.4,0,0,-18.552,140.0,18.552,0.0,0.0
0,0.5,0,0,-23.343,140.0,23.343,0.0,0.0
0,0.1,1,0,-1.406,140.0,1.406,0.0,0.0
0,0.2,1,0,-4.066,140.0,4.066,0.0,0.0
0,0.3,1,0,-6.994,140.0,6.994,0.0,0.0
0,0.4,1,0,-10.287,140.0,10.287,0.0,0.0
0,0.5,1,0,-13.452,140.0,13.452,0.0,0.0
0,0.1,2,0,-3.55,140.0,3.55,0.0,0.0
0,0.2,2,0,-7.641,140.0,7.641,0.0,0.0
0,0.3,2,0,-11.892,140.0,11.892,0.0,0.0
0,0.4,2,0,-15.922,140.0,15.922,0.0,0.0
0,0.5,2,0,-19.738,140.0,19.738,0.0,0.0
0,0.1,3,0,-6.77,140.0,6.77,0.0,0.0
0,0.2,3,0,-13.272,140.0,13.272,0.0,0.0
0,0.3,3,0,-18.87,140.0,18.87,0.0,0.0
0,0.4,3,0,-24.13,140.0,24.13,0.0,0.0
0,0.5,3,0,-29.029,140.0,29.029,0.0,0.0
0,0.1,4,0,-10.195,140.0,10.195,0.0,0.0
0,0.2,4,0,-18.541,140.0,18.541,0.0,0.0
0,0.3,4,0,-26.024,140.0,26.024,0.0,0.0
0,0.4,4,0,-32.555,140.0,32.555,0.0,0.0
0,0.5,4,0,-38.198,140.0,38.198,0.0,0.0
0,0.1,5,0,-12.17,140.0,12.17,0.0,0.0
0,0.2,5,0,-22.187,140.0,22.187,0.0,0.0
0,0.3,5,0,-30.473,140.0,30.473,0.0,0.0
0,0.4,5,0,-37.96,140.0,37.96,0.0,0.0
0,0.5,5,0,-44.312,140.0,44.312,0.0,0.0
