model,param_under_test,cw_classes,q_norm,avg_tot_reward,avg_steps,avg_embb_outages,avg_urllc_delays,avg_residual_urllc_pkts
0,0.1,0,0,-9.405,128.0,4.042,0.166,0.312
0,0.2,0,0,-19.603,113.0,7.358,0.379,0.906
0,0.3,0,0,-30.156,88.0,8.381,0.674,1.933
0,0.4,0,0,-36.005,62.0,7.477,0.883,2.947
0,0.5,0,0,-37.785,44.0,6.059,0.982,3.933
0,0.1,1,0,-5.401,131.0,1.266,0.128,0.244
0,0.2,1,0,-14.375,116.0,3.132,0.348,0.808
0,0.3,1,0,-25.502,88.0,3.985,0.666,1.936
0,0.4,1,0,-32.668,65.0,4.043,0.886,3.026
0,0.5,1,0,-34.604,42.0,3.039,0.977,3.981
0,0.1,2,0,-7.972,131.0,3.255,0.146,0.282
0,0.2,2,0,-18.179,113.0,5.934,0.379,0.927
0,0.3,2,0,-28.453,90.0,6.904,0.667,1.917
0,0.4,2,0,-35.372,64.0,6.392,0.897,3.052
0,0.5,2,0,-36.755,43.0,5.126,0.979,3.936
0,0.1,3,0,-10.767,131.0,6.373,0.136,0.236
0,0.2,3,0,-22.912,112.0,10.247,0.392,0.937
0,0.3,3,0,-32.691,91.0,11.529,0.655,1.907
0,0.4,3,0,-38.445,66.0,10.467,0.866,2.924
0,0.5,3,0,-39.604,42.0,7.619,0.99,3.983
0,0.1,4,0,-13.822,130.0,9.137,0.145,0.279
0,0.2,4,0,-26.081,117.0,14.999,0.343,0.864
0,0.3,4,0,-37.744,87.0,15.387,0.692,1.956
0,0.4,4,0,-42.147,65.0,13.975,0.872,2.977
0,0.5,4,0,-42.305,42.0,10.643,0.98,3.953
0,0.1,5,0,-15.353,131.0,11.185,0.129,0.265
0,0.2,5,0,-29.636,114.0,17.682,0.37,0.859
0,0.3,5,0,-39.838,92.0,19.032,0.644,1.837
0,0.4,5,0,-44.882,65.0,16.484,0.879,3.002
0,0.5,5,0,-43.755,43.0,12.352,0.972,3.915
