model,param_under_test,cw_classes,q_norm,avg_tot_reward,avg_steps,avg_embb_outages,avg_urllc_delays,avg_residual_urllc_pkts
0,0.1,0,0,-1.181,140.0,1.181,0.0,0.597
0,0.2,0,0,-3.183,140.0,3.183,0.0,1.222
0,0.3,0,0,-5.723,140.0,5.723,0.0,1.79
0,0.4,0,0,-9.254,140.0,9.254,0.0,2.416
0,0.5,0,0,-14.625,140.0,14.625,0.0,3.015
0,0.1,1,0,-0.001,140.0,0.001,0.0,0.604
0,0.2,1,0,-0.004,140.0,0.004,0.0,1.203
0,0.3,1,0,-0.088,140.0,0.088,0.0,1.8
0,0.4,1,0,-0.325,140.0,0.325,0.0,2.344
0,0.5,1,0,-0.996,140.0,0.996,0.0,2.984
0,0.1,2,0,-0.017,140.0,0.017,0.0,0.601
0,0.2,2,0,-0.167,140.0,0.167,0.0,1.21
0,0.3,2,0,-0.701,140.0,0.701,0.0,1.795
0,0.4,2,0,-2.231,140.0,2.231,0.0,2.425
0,0.5,2,0,-4.767,140.0,4.767,0.0,2.948
0,0.1,3,0,-0.547,140.0,0.547,0.0,0.606
0,0.2,3,0,-2.637,140.0,2.637,0.0,1.209
0,0.3,3,0,-6.382,140.0,6.382,0.0,1.805
0,0.4,3,0,-12.16,140.0,12.16,0.0,2.436
0,0.5,3,0,-20.098,140.0,20.098,0.0,3.02
0,0.1,4,0,-4.875,140.0,4.875,0.0,0.579
0,0.2,4,0,-13.23,140.0,13.23,0.0,1.175
0,0.3,4,0,-23.131,140.0,23.131,0.0,1.752
0,0.4,4,0,-34.197,140.0,34.197,0.0,2.393
0,0.5,4,0,-45.32,140.0,45.32,0.0,3.035
0,0.1,5,0,-13.402,140.0,13.402,0.0,0.63
0,0.2,5,0,-26.73,140.0,26.73,0.0,1.164
0,0.3,5,0,-40.454,140.0,40.454,0.0,1.793
0,0.4,5,0,-53.266,140.0,53.266,0.0,2.404
0,0.5,5,0,-66.065,140.0,66.065,0.0,3.003
