model,param_under_test,cw_classes,q_norm,avg_tot_reward,avg_steps,avg_embb_outages,avg_urllc_delays,avg_residual_urllc_pkts
0,0.1,0,0,-1.313,140.0,1.313,0.0,0.0
0,0.2,0,0,-3.228,140.0,3.228,0.0,0.0
0,0.3,0,0,-6.712,140.0,6.712,0.0,0.0
0,0.4,0,0,-9.85,140.0,9.85,0.0,0.0
0,0.5,0,0,-15.784,140.0,15.784,0.0,0.0
0,0.1,1,0,0.0,140.0,0.0,0.0,0.0
0,0.2,1,0,-0.009,140.0,0.009,0.0,0.0
0,0.3,1,0,-0.089,140.0,0.089,0.0,0.0
0,0.4,1,0,-0.32,140.0,0.32,0.0,0.0
0,0.5,1,0,-1.143,140.0,1.143,0.0,0.0
0,0.1,2,0,-0.012,140.0,0.012,0.0,0.0
0,0.2,2,0,-0.176,140.0,0.176,0.0,0.0
0,0.3,2,0,-0.791,140.0,0.791,0.0,0.0
0,0.4,2,0,-2.324,140.0,2.324,0.0,0.0
0,0.5,2,0,-5.016,140.0,5.016,0.0,0.0
0,0.1,3,0,-0.589,140.0,0.589,0.0,0.0
0,0.2,3,0,-2.785,140.0,2.785,0.0,0.0
0,0.3,3,0,-6.867,140.0,6.867,0.0,0.0
0,0.4,3,0,-12.995,140.0,12.995,0.0,0.0
0,0.5,3,0,-21.116,140.0,21.116,0.0,0.0
0,0.1,4,0,-5.242,140.0,5.242,0.0,0.0
0,0.2,4,0,-13.909,140.0,13.909,0.0,0.0
0,0.3,4,0,-24.172,140.0,24.172,0.0,0.0
0,0.4,4,0,-35.645,140.0,35.645,0.0,0.0
0,0.5,4,0,-47.81,140.0,47.81,0.0,0.0
0,0.1,5,0,-14.008,140.0,14.008,0.0,0.0
0,0.2,5,0,-27.903,140.0,27.903,0.0,0.0
0,0.3,5,0,-41.948,140.0,41.948,0.0,0.0
0,0.4,5,0,-55.661,140.0,55.661,0.0,0.0
0,0.5,5,0,-69.049,140.0,69.049,0.0,0.0
