model,param_under_test,cw_classes,q_norm,avg_tot_reward,avg_steps,avg_embb_outages,avg_urllc_delays,avg_residual_urllc_pkts,avg_action_duration
0,0.1,0,0,-0.972,140.0,0.972,0.0,0.614,0.024
0,0.2,0,0,-2.703,140.0,2.703,0.0,1.209,0.032
0,0.3,0,0,-4.665,140.0,4.665,0.0,1.767,0.036
0,0.4,0,0,-8.763,140.0,8.763,0.0,2.408,0.037
0,0.5,0,0,-13.301,140.0,13.301,0.0,3.033,0.037
0,0.1,1,0,0.0,140.0,0.0,0.0,0.567,0.025
0,0.2,1,0,0.0,140.0,0.0,0.0,1.151,0.033
0,0.3,1,0,-0.004,140.0,0.004,0.0,1.807,0.036
0,0.4,1,0,-0.025,140.0,0.025,0.0,2.433,0.037
0,0.5,1,0,-0.146,140.0,0.146,0.0,2.987,0.037
0,0.1,2,0,-0.004,140.0,0.004,0.0,0.602,0.025
0,0.2,2,0,-0.059,140.0,0.059,0.0,1.182,0.033
0,0.3,2,0,-0.264,140.0,0.264,0.0,1.78,0.036
0,0.4,2,0,-1.039,140.0,1.039,0.0,2.393,0.037
0,0.5,2,0,-2.54,140.0,2.54,0.0,3.072,0.037
0,0.1,3,0,-0.348,140.0,0.348,0.0,0.575,0.025
0,0.2,3,0,-1.702,140.0,1.702,0.0,1.226,0.033
0,0.3,3,0,-4.625,140.0,4.625,0.0,1.831,0.036
0,0.4,3,0,-9.695,140.0,9.695,0.0,2.386,0.037
0,0.5,3,0,-17.219,140.0,17.219,0.0,3.025,0.037
0,0.1,4,0,-4.277,140.0,4.277,0.0,0.57,0.025
0,0.2,4,0,-11.555,140.0,11.555,0.0,1.23,0.033
0,0.3,4,0,-21.123,140.0,21.123,0.0,1.789,0.036
0,0.4,4,0,-32.637,140.0,32.637,0.0,2.38,0.037
0,0.5,4,0,-44.509,140.0,44.509,0.0,3.003,0.038
0,0.1,5,0,-13.392,140.0,13.392,0.0,0.596,0.025
0,0.2,5,0,-26.856,140.0,26.856,0.0,1.199,0.033
0,0.3,5,0,-40.362,140.0,40.362,0.0,1.799,0.035
0,0.4,5,0,-53.463,140.0,53.463,0.0,2.392,0.036
0,0.5,5,0,-66.626,140.0,66.626,0.0,3.025,0.036
