model,param_under_test,cw_classes,q_norm,avg_tot_reward,avg_steps,avg_embb_outages,avg_urllc_delays,avg_residual_urllc_pkts,avg_action_duration
0,0.1,0,0,-0.91,140.0,0.91,0.0,0.0,0.008
0,0.2,0,0,-2.883,140.0,2.883,0.0,0.0,0.009
0,0.3,0,0,-5.529,140.0,5.529,0.0,0.0,0.011
0,0.4,0,0,-8.973,140.0,8.973,0.0,0.0,0.013
0,0.5,0,0,-13.455,140.0,13.455,0.0,0.0,0.015
0,0.1,1,0,0.0,140.0,0.0,0.0,0.0,0.008
0,0.2,1,0,0.0,140.0,0.0,0.0,0.0,0.01
0,0.3,1,0,-0.005,140.0,0.005,0.0,0.0,0.011
0,0.4,1,0,-0.038,140.0,0.038,0.0,0.0,0.013
0,0.5,1,0,-0.141,140.0,0.141,0.0,0.0,0.015
0,0.1,2,0,-0.005,140.0,0.005,0.0,0.0,0.008
0,0.2,2,0,-0.059,140.0,0.059,0.0,0.0,0.01
0,0.3,2,0,-0.325,140.0,0.325,0.0,0.0,0.011
0,0.4,2,0,-1.143,140.0,1.143,0.0,0.0,0.013
0,0.5,2,0,-3.003,140.0,3.003,0.0,0.0,0.015
0,0.1,3,0,-0.416,140.0,0.416,0.0,0.0,0.008
0,0.2,3,0,-1.822,140.0,1.822,0.0,0.0,0.01
0,0.3,3,0,-5.134,140.0,5.134,0.0,0.0,0.011
0,0.4,3,0,-10.438,140.0,10.438,0.0,0.0,0.013
0,0.5,3,0,-18.109,140.0,18.109,0.0,0.0,0.015
0,0.1,4,0,-4.494,140.0,4.494,0.0,0.0,0.008
0,0.2,4,0,-12.454,140.0,12.454,0.0,0.0,0.01
0,0.3,4,0,-22.013,140.0,22.013,0.0,0.0,0.011
0,0.4,4,0,-33.99,140.0,33.99,0.0,0.0,0.013
0,0.5,4,0,-46.936,140.0,46.936,0.0,0.0,0.015
0,0.1,5,0,-14.061,140.0,14.061,0.0,0.0,0.008
0,0.2,5,0,-27.932,140.0,27.932,0.0,0.0,0.01
0,0.3,5,0,-42.126,140.0,42.126,0.0,0.0,0.011
0,0.4,5,0,-56.089,140.0,56.089,0.0,0.0,0.013
0,0.5,5,0,-69.801,140.0,69.801,0.0,0.0,0.014
