model,param_under_test,cw_classes,q_norm,avg_tot_reward,avg_steps,avg_embb_outages,avg_urllc_delays,avg_residual_urllc_pkts,avg_action_duration
0,0.1,0,0,-4.309,140.0,4.309,0.0,0.0,0.008
0,0.2,0,0,-9.456,140.0,9.456,0.0,0.0,0.01
0,0.3,0,0,-14.703,140.0,14.703,0.0,0.0,0.012
0,0.4,0,0,-20.171,140.0,20.171,0.0,0.0,0.015
0,0.5,0,0,-24.926,140.0,24.926,0.0,0.0,0.017
0,0.1,1,0,-0.636,140.0,0.636,0.0,0.0,0.008
0,0.2,1,0,-2.499,140.0,2.499,0.0,0.0,0.011
0,0.3,1,0,-5.217,140.0,5.217,0.0,0.0,0.013
0,0.4,1,0,-8.944,140.0,8.944,0.0,0.0,0.015
0,0.5,1,0,-13.142,140.0,13.142,0.0,0.0,0.017
0,0.1,2,0,-3.122,140.0,3.122,0.0,0.0,0.009
0,0.2,2,0,-7.145,140.0,7.145,0.0,0.0,0.011
0,0.3,2,0,-11.633,140.0,11.633,0.0,0.0,0.013
0,0.4,2,0,-16.398,140.0,16.398,0.0,0.0,0.015
0,0.5,2,0,-21.186,140.0,21.186,0.0,0.0,0.017
0,0.1,3,0,-6.891,140.0,6.891,0.0,0.0,0.008
0,0.2,3,0,-13.806,140.0,13.806,0.0,0.0,0.011
0,0.3,3,0,-20.745,140.0,20.745,0.0,0.0,0.013
0,0.4,3,0,-27.456,140.0,27.456,0.0,0.0,0.015
0,0.5,3,0,-33.91,140.0,33.91,0.0,0.0,0.017
0,0.1,4,0,-10.702,140.0,10.702,0.0,0.0,0.009
0,0.2,4,0,-20.792,140.0,20.792,0.0,0.0,0.011
0,0.3,4,0,-30.167,140.0,30.167,0.0,0.0,0.013
0,0.4,4,0,-38.566,140.0,38.566,0.0,0.0,0.015
0,0.5,4,0,-46.417,140.0,46.417,0.0,0.0,0.017
0,0.1,5,0,-13.09,140.0,13.09,0.0,0.0,0.008
0,0.2,5,0,-25.076,140.0,25.076,0.0,0.0,0.011
0,0.3,5,0,-36.56,140.0,36.56,0.0,0.0,0.012
0,0.4,5,0,-45.963,140.0,45.963,0.0,0.0,0.014
0,0.5,5,0,-54.916,140.0,54.916,0.0,0.0,0.017
