model,param_under_test,cw_classes,q_norm,avg_tot_reward,avg_steps,avg_embb_outages,avg_urllc_delays,avg_residual_urllc_pkts,avg_action_duration
0,0.1,0,0,-0.836,140.0,0.836,0.0,0.0,0.008
0,0.2,0,0,-1.79,140.0,1.79,0.0,0.0,0.011
0,0.3,0,0,-3.046,140.0,3.046,0.0,0.0,0.013
0,0.4,0,0,-4.259,140.0,4.259,0.0,0.0,0.016
0,0.5,0,0,-6.212,140.0,6.212,0.0,0.0,0.018
0,0.1,1,0,0.0,140.0,0.0,0.0,0.0,0.009
0,0.2,1,0,0.0,140.0,0.0,0.0,0.0,0.011
0,0.3,1,0,-0.001,140.0,0.001,0.0,0.0,0.013
0,0.4,1,0,-0.023,140.0,0.023,0.0,0.0,0.016
0,0.5,1,0,-0.14,140.0,0.14,0.0,0.0,0.018
0,0.1,2,0,-0.008,140.0,0.008,0.0,0.0,0.009
0,0.2,2,0,-0.043,140.0,0.043,0.0,0.0,0.011
0,0.3,2,0,-0.221,140.0,0.221,0.0,0.0,0.013
0,0.4,2,0,-0.746,140.0,0.746,0.0,0.0,0.016
0,0.5,2,0,-1.91,140.0,1.91,0.0,0.0,0.018
0,0.1,3,0,-0.387,140.0,0.387,0.0,0.0,0.009
0,0.2,3,0,-1.406,140.0,1.406,0.0,0.0,0.011
0,0.3,3,0,-3.213,140.0,3.213,0.0,0.0,0.014
0,0.4,3,0,-5.803,140.0,5.803,0.0,0.0,0.016
0,0.5,3,0,-8.74,140.0,8.74,0.0,0.0,0.018
0,0.1,4,0,-3.557,140.0,3.557,0.0,0.0,0.009
0,0.2,4,0,-7.817,140.0,7.817,0.0,0.0,0.011
0,0.3,4,0,-11.624,140.0,11.624,0.0,0.0,0.014
0,0.4,4,0,-14.575,140.0,14.575,0.0,0.0,0.016
0,0.5,4,0,-16.836,140.0,16.836,0.0,0.0,0.018
0,0.1,5,0,-10.116,140.0,10.116,0.0,0.0,0.009
0,0.2,5,0,-15.21,140.0,15.21,0.0,0.0,0.011
0,0.3,5,0,-17.974,140.0,17.974,0.0,0.0,0.013
0,0.4,5,0,-19.19,140.0,19.19,0.0,0.0,0.015
0,0.5,5,0,-20.382,140.0,20.382,0.0,0.0,0.018
