model,param_under_test,cw_classes,q_norm,avg_tot_reward,avg_steps,avg_embb_outages,avg_urllc_delays,avg_residual_urllc_pkts,avg_action_duration
-1,0.1,0,0,-0.574,140.0,0.574,0.0,0.02,2.012
-1,0.2,0,0,-1.154,140.0,1.154,0.0,0.057,2.52
-1,0.3,0,0,-1.945,140.0,1.945,0.0,0.08,2.284
-1,0.4,0,0,-2.678,140.0,2.678,0.0,0.114,3.169
-1,0.5,0,0,-3.799,140.0,3.799,0.0,0.153,2.28
-1,0.1,1,0,-0.001,140.0,0.001,0.0,0.0,3.039
-1,0.2,1,0,-0.006,140.0,0.006,0.0,0.0,2.982
-1,0.3,1,0,-0.043,140.0,0.043,0.0,0.016,3.062
-1,0.4,1,0,-0.17,140.0,0.17,0.0,0.063,3.475
-1,0.5,1,0,-0.402,140.0,0.402,0.0,0.125,2.665
-1,0.1,2,0,-0.004,140.0,0.004,0.0,0.003,2.49
-1,0.2,2,0,-0.051,140.0,0.051,0.0,0.014,3.289
-1,0.3,2,0,-0.279,140.0,0.279,0.0,0.071,2.284
-1,0.4,2,0,-0.811,140.0,0.811,0.0,0.131,3.104
-1,0.5,2,0,-1.801,140.0,1.801,0.0,0.218,2.208
-1,0.1,3,0,-0.17,140.0,0.17,0.0,0.03,2.403
-1,0.2,3,0,-0.893,140.0,0.893,0.0,0.092,3.178
-1,0.3,3,0,-2.312,140.0,2.312,0.0,0.167,2.511
-1,0.4,3,0,-3.98,140.0,3.98,0.0,0.174,2.806
-1,0.5,3,0,-5.774,140.0,5.774,0.0,0.222,2.962
-1,0.1,4,0,-2.367,140.0,2.367,0.0,0.108,2.341
-1,0.2,4,0,-4.945,140.0,4.945,0.0,0.132,2.741
-1,0.3,4,0,-7.14,140.0,7.14,0.0,0.144,3.444
-1,0.4,4,0,-9.011,140.0,9.011,0.0,0.158,2.678
-1,0.5,4,0,-10.765,140.0,10.765,0.0,0.148,2.495
-1,0.1,5,0,-6.665,140.0,6.665,0.0,0.112,2.357
-1,0.2,5,0,-9.36,140.0,9.36,0.0,0.105,2.987
-1,0.3,5,0,-11.346,140.0,11.346,0.0,0.115,2.104
-1,0.4,5,0,-12.519,140.0,12.519,0.0,0.101,2.014
-1,0.5,5,0,-14.24,140.0,14.24,0.0,0.135,2.808
