model,param_under_test,cw_classes,q_norm,avg_tot_reward,avg_steps,avg_embb_outages,avg_urllc_delays,avg_residual_urllc_pkts,avg_action_duration
0,0.1,0,0,-8.299,131.0,4.164,0.128,0.277,0.01
0,0.2,0,0,-19.333,113.0,7.153,0.377,0.924,0.014
0,0.3,0,0,-30.544,87.0,8.349,0.687,1.946,0.018
0,0.4,0,0,-35.933,64.0,7.922,0.867,2.965,0.021
0,0.5,0,0,-38.018,44.0,6.421,0.978,3.969,0.023
0,0.1,1,0,-5.788,129.0,0.554,0.162,0.283,0.011
0,0.2,1,0,-13.19,115.0,1.85,0.351,0.839,0.014
0,0.3,1,0,-24.037,90.0,2.843,0.656,1.896,0.018
0,0.4,1,0,-31.677,66.0,3.214,0.881,3.069,0.02
0,0.5,1,0,-34.57,42.0,2.715,0.986,3.954,0.022
0,0.1,2,0,-7.202,131.0,2.937,0.132,0.279,0.011
0,0.2,2,0,-17.601,115.0,5.453,0.376,0.904,0.015
0,0.3,2,0,-27.691,88.0,6.529,0.655,1.911,0.018
0,0.4,2,0,-34.862,63.0,6.237,0.886,3.104,0.021
0,0.5,2,0,-36.971,44.0,5.277,0.981,3.875,0.022
0,0.1,3,0,-10.67,131.0,6.308,0.135,0.247,0.011
0,0.2,3,0,-22.199,117.0,11.117,0.343,0.846,0.014
0,0.3,3,0,-33.519,87.0,12.099,0.663,1.96,0.018
0,0.4,3,0,-39.327,63.0,10.799,0.883,2.991,0.021
0,0.5,3,0,-40.594,43.0,8.674,0.988,3.91,0.022
0,0.1,4,0,-14.281,130.0,9.693,0.142,0.307,0.011
0,0.2,4,0,-28.193,112.0,15.948,0.379,0.893,0.015
0,0.3,4,0,-39.547,89.0,17.998,0.667,1.87,0.018
0,0.4,4,0,-44.355,66.0,16.409,0.865,2.988,0.021
0,0.5,4,0,-43.879,43.0,12.185,0.981,3.881,0.023
0,0.1,5,0,-16.931,131.0,12.117,0.149,0.267,0.011
0,0.2,5,0,-32.029,116.0,20.56,0.355,0.879,0.014
0,0.3,5,0,-42.748,91.0,22.265,0.634,1.833,0.017
0,0.4,5,0,-47.835,65.0,19.178,0.887,3.016,0.02
0,0.5,5,0,-46.406,44.0,14.744,0.98,3.922,0.022
